Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1978,-8.9,-19.8,-14.3,271,1305,0,2911,0,0,270,0,0,53
1979,-10.8,-22.4,-16.6,274,1506,0,3112,0,0,273,0,0,49
1980,-7.2,-17.7,-12.4,424,1125,0,2736,0,0,413,0,0,55
1981,-5.1,-14.1,-9.6,350,881,0,2479,0,1,341,0,0,61
1982,-9.5,-20.2,-14.8,393,1341,0,2947,0,0,391,0,0,53
1983,-4.8,-14.8,-9.8,288,907,0,2502,0,1,273,0,0,58
1984,-6.9,-17.8,-12.4,240,1146,0,2740,0,1,227,0,0,54
1985,-9.4,-20.4,-14.9,253,1353,0,2959,0,0,252,0,0,52
1986,-5.8,-15.2,-10.5,263,953,0,2549,0,1,250,0,0,60
1987,-4.7,-15.0,-9.8,153,899,0,2501,1,0,147,0,0,57
1988,-7.0,-17.5,-12.3,229,1113,0,2723,0,0,227,0,0,55
1989,-8.0,-18.8,-13.4,336,1202,0,2808,0,0,330,0,0,53
1990,-6.5,-15.7,-11.1,327,1001,0,2606,0,0,318,0,0,61
1991,-7.5,-17.0,-12.2,266,1149,0,2733,0,1,252,0,0,59
1992,-3.2,-12.2,-7.7,227,727,0,2310,0,1,204,0,0,62
1993,-9.1,-20.1,-14.6,162,1328,0,2934,1,0,162,0,0,53
1994,-6.8,-15.5,-11.1,280,998,0,2605,0,1,268,0,0,62
1995,-6.0,-16.2,-11.1,246,1010,0,2619,0,0,242,0,0,57
1996,-8.9,-19.8,-14.3,313,1305,0,2910,0,0,311,0,0,53
1997,-8.2,-18.4,-13.3,323,1222,0,2823,1,0,320,0,0,56
1998,-5.6,-14.8,-10.2,188,940,0,2536,0,1,183,0,0,61
1999,-7.3,-14.8,-11.1,274,1008,0,2614,2,1,267,0,0,67
2000,-6.1,-14.4,-10.3,219,930,0,2536,0,1,211,0,0,64
2001,-6.9,-16.5,-11.7,193,1056,0,2660,0,1,187,0,0,59
2002,-6.7,-15.1,-10.9,260,990,0,2596,1,0,253,0,0,64
2003,-4.7,-13.4,-9.1,136,819,0,2428,0,1,126,0,0,63
2004,-5.6,-14.5,-10.0,141,926,0,2521,1,1,137,0,0,62
2005,-4.8,-13.8,-9.3,249,860,0,2456,2,1,238,0,0,62
2006,-5.6,-13.1,-9.3,212,845,0,2447,1,1,195,0,0,68
2007,-5.8,-13.4,-9.6,163,867,0,2476,0,1,156,0,0,67
2008,-6.3,-15.6,-11.0,362,1012,0,2607,0,0,353,0,0,60
2009,-6.7,-15.4,-11.0,268,1005,0,2610,0,1,261,0,0,62
2010,-5.1,-15.3,-10.2,132,960,0,2544,2,1,126,0,0,57
2011,-7.3,-16.4,-11.9,339,1070,0,2675,0,0,330,0,0,61
2012,-5.0,-13.7,-9.3,258,844,0,2451,0,1,245,0,0,63
2013,-5.1,-13.2,-9.2,207,857,0,2444,0,1,192,0,0,65
2014,-6.8,-15.9,-11.3,248,1028,0,2621,0,1,228,0,0,61
2015,-3.3,-11.8,-7.5,208,723,0,2298,1,2,183,0,0,64
2016,-3.7,-12.1,-7.9,233,751,0,2331,0,2,211,0,0,64
2017,-8.5,-17.1,-12.8,373,1164,0,2769,0,0,369,0,0,62
2018,-7.6,-15.9,-11.7,286,1055,0,2657,0,1,275,0,0,64
2019,-7.2,-16.3,-11.8,220,1056,0,2656,0,1,208,0,0,60
