Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1981,3.9,-2.1,0.9,974,158,27,1532,0,28,233,37,0,78
1982,0.8,-4.7,-2.0,1498,302,2,1791,0,14,715,0,0,78
1983,3.4,-2.6,0.4,1050,183,26,1580,0,25,249,28,0,77
1984,1.9,-4.5,-1.3,908,297,15,1743,0,18,287,28,0,75
1985,0.0,-6.6,-3.3,684,392,0,1912,0,8,461,0,0,73
1986,2.8,-3.7,-0.4,841,223,18,1649,0,20,300,11,0,75
1987,2.7,-3.3,-0.3,659,214,8,1646,0,20,193,17,0,77
1988,1.7,-4.2,-1.3,853,267,2,1734,0,16,340,16,0,77
1989,1.3,-4.6,-1.7,730,289,8,1758,0,17,253,0,0,76
1990,2.0,-3.4,-0.7,1205,237,18,1675,0,22,496,8,0,78
1991,1.4,-4.5,-1.5,1180,322,19,1765,0,19,523,18,0,76
1992,4.4,-1.3,1.6,903,136,40,1478,0,33,138,38,0,79
1993,0.7,-6.2,-2.7,421,361,0,1866,0,9,249,0,0,72
1994,2.5,-2.8,-0.2,936,210,22,1624,0,25,355,11,0,79
1995,2.6,-3.5,-0.4,1020,221,4,1659,0,19,307,17,0,77
1996,1.7,-4.4,-1.3,1066,269,6,1737,0,15,407,0,0,76
1997,1.1,-4.9,-1.9,1236,307,1,1788,0,13,598,0,0,76
1998,2.6,-3.2,-0.3,870,215,11,1646,0,21,257,25,0,78
1999,1.4,-3.4,-1.0,1490,244,4,1702,0,20,578,0,0,81
2000,2.5,-3.1,-0.3,921,215,7,1646,0,22,248,25,0,78
2001,3.0,-3.5,-0.2,491,205,10,1633,0,20,141,11,0,75
2002,1.8,-3.4,-0.8,1246,234,1,1689,0,19,422,0,0,79
2003,4.2,-2.0,1.1,773,152,28,1518,0,29,136,38,0,77
2004,3.0,-2.7,0.1,635,193,14,1606,0,24,167,18,0,78
2005,4.0,-2.4,0.8,725,164,21,1544,0,26,140,29,0,76
2006,2.7,-2.2,0.3,1138,184,17,1590,0,28,274,17,0,82
2007,2.7,-2.5,0.1,950,194,14,1609,0,25,236,23,0,80
2008,1.5,-3.6,-1.0,1081,255,5,1713,0,19,393,16,0,80
2009,1.5,-4.1,-1.3,830,269,6,1736,0,16,334,0,0,78
2010,3.6,-1.8,0.9,586,177,33,1537,0,31,117,29,0,80
2011,1.5,-3.1,-0.8,1140,235,8,1685,0,22,391,0,0,82
2012,2.1,-2.9,-0.4,858,215,7,1651,0,23,266,22,0,81
2013,1.7,-2.6,-0.5,1005,218,6,1659,0,24,315,13,0,83
2014,1.8,-3.0,-0.6,847,233,19,1664,0,24,346,11,0,81
2015,4.9,-0.3,2.3,892,117,56,1412,0,41,114,37,0,81
2016,3.1,-1.3,0.9,1195,166,33,1540,0,33,238,26,0,83
2017,0.0,-5.3,-2.6,814,348,0,1856,0,11,438,0,0,78
2018,1.6,-2.5,-0.5,1179,220,18,1651,0,26,423,9,0,84
2019,1.5,-3.8,-1.2,728,269,22,1709,0,21,267,11,0,79
