Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1980,0.2,-5.5,-2.6,1301,355,1,1853,0,12,610,0,0,77
1981,1.9,-3.4,-0.7,1175,229,5,1679,0,20,415,0,0,79
1982,-0.7,-6.4,-3.5,1484,408,0,1935,0,8,930,0,0,76
1983,1.3,-4.2,-1.5,1691,274,3,1748,0,16,701,0,0,78
1984,0.3,-6.0,-2.8,1030,373,0,1875,0,11,495,0,0,74
1985,-0.6,-6.4,-3.5,566,407,0,1931,0,9,385,0,0,76
1986,0.6,-5.3,-2.4,1052,326,3,1823,0,13,456,0,0,76
1987,1.4,-4.0,-1.3,1306,262,0,1733,0,17,504,0,0,79
1988,0.5,-5.0,-2.3,1040,323,0,1822,0,13,524,0,0,78
1989,-0.2,-6.3,-3.2,812,385,0,1899,0,10,440,0,0,75
1990,0.7,-4.6,-2.0,1114,308,8,1786,0,17,528,7,0,78
1991,0.2,-5.3,-2.5,1137,359,1,1852,0,13,576,14,0,77
1992,2.0,-3.0,-0.5,1579,217,4,1658,0,22,474,14,0,80
1993,-0.6,-6.7,-3.6,533,417,0,1944,0,7,352,0,0,75
1994,1.0,-3.9,-1.5,1306,272,4,1742,0,18,590,0,0,80
1995,0.9,-4.8,-1.9,1351,301,0,1792,0,13,623,0,0,77
1996,0.7,-5.2,-2.3,1195,320,0,1819,0,12,577,0,0,76
1997,-0.1,-5.9,-3.0,1101,376,0,1889,0,10,664,0,0,76
1998,1.1,-4.3,-1.6,1539,280,1,1759,0,15,661,0,0,78
1999,-0.1,-5.1,-2.6,1947,341,0,1850,0,12,1077,0,0,79
2000,0.2,-5.0,-2.4,1027,330,0,1833,0,12,507,0,0,78
2001,0.9,-5.1,-2.1,635,307,0,1802,0,13,300,0,0,76
2002,0.3,-5.1,-2.4,1273,326,0,1829,0,12,645,0,0,78
2003,1.8,-3.9,-1.0,1101,246,4,1705,0,18,339,9,0,77
2004,0.9,-4.3,-1.7,1220,287,0,1772,0,15,535,0,0,79
2005,1.8,-4.4,-1.3,892,260,0,1731,0,15,317,0,0,76
2006,1.1,-4.6,-1.8,1588,288,0,1771,0,15,650,0,0,77
2007,0.5,-4.1,-1.8,1384,291,0,1778,0,16,604,0,0,81
2008,-0.5,-5.7,-3.1,1198,381,0,1899,0,10,716,0,0,78
2009,-0.7,-6.1,-3.4,760,399,0,1924,0,9,475,0,0,77
2010,1.4,-3.4,-1.0,1085,261,6,1707,0,22,334,22,0,81
2011,0.0,-4.9,-2.4,1399,327,0,1829,0,13,694,0,0,80
2012,0.2,-4.6,-2.2,1132,314,0,1814,0,14,561,0,0,80
2013,0.2,-4.2,-2.0,1022,302,0,1794,0,16,489,0,0,82
2014,0.1,-4.9,-2.4,667,330,1,1829,0,14,390,0,0,79
2015,3.0,-2.2,0.4,1175,185,17,1583,0,27,310,25,0,80
2016,1.3,-3.5,-1.1,1514,257,3,1719,0,19,575,13,0,81
2017,-1.0,-6.4,-3.7,807,416,0,1945,0,8,555,0,0,78
2018,0.3,-4.4,-2.0,1099,304,1,1795,0,16,456,0,0,81
2019,0.2,-5.8,-2.8,1001,360,3,1861,0,12,435,0,0,75
