Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1980,-1.9,-7.8,-4.9,635,523,4,2076,0,6,404,0,0,75
1981,0.4,-5.0,-2.3,611,376,8,1883,0,11,338,0,0,78
1982,-3.2,-8.9,-6.0,793,582,2,2142,0,4,662,0,0,76
1983,-0.4,-5.9,-3.1,778,516,5,2058,0,9,465,0,0,77
1984,-2.1,-8.1,-5.1,476,507,5,2045,0,7,288,0,0,75
1985,-3.4,-9.4,-6.4,292,498,3,2043,0,5,262,0,0,74
1986,-1.2,-6.9,-4.0,519,434,5,1960,0,9,333,0,0,76
1987,-0.8,-6.0,-3.4,537,450,4,1982,0,8,329,0,0,78
1988,-1.9,-7.2,-4.6,492,420,5,1949,0,8,362,0,0,78
1989,-2.1,-7.7,-4.9,410,473,5,2003,0,9,271,0,0,76
1990,-1.6,-6.1,-3.9,580,576,2,2131,0,6,394,0,0,81
1991,-2.1,-6.6,-4.4,593,368,8,1871,0,13,393,0,0,81
1992,0.4,-4.0,-1.8,649,390,8,1895,0,13,282,0,0,82
1993,-2.7,-7.4,-5.0,200,450,4,1986,0,8,158,0,0,80
1994,-1.1,-5.1,-3.1,674,406,7,1922,0,13,437,0,0,84
1995,-1.1,-5.8,-3.4,624,388,6,1909,0,10,392,0,0,80
1996,-1.6,-6.5,-4.0,522,546,3,2092,0,6,352,0,0,80
1997,-2.3,-7.5,-4.9,539,405,5,1932,0,9,399,0,0,78
1998,-1.4,-5.6,-3.5,684,438,4,1971,0,9,433,0,0,82
1999,-2.1,-6.0,-4.1,998,395,5,1920,0,12,692,0,0,84
2000,-1.3,-5.6,-3.4,497,430,4,1963,0,9,293,0,0,82
2001,-0.7,-6.1,-3.4,285,418,5,1946,0,9,166,0,0,78
2002,-1.7,-6.1,-3.9,649,391,5,1915,0,11,436,0,0,81
2003,0.4,-4.9,-2.2,479,340,8,1843,0,13,216,0,0,79
2004,-0.8,-5.1,-3.0,444,334,7,1839,0,13,257,0,0,82
2005,0.4,-4.7,-2.2,483,311,8,1808,0,14,233,0,0,80
2006,-0.8,-4.6,-2.7,743,354,7,1868,0,14,386,0,0,84
2007,-1.0,-4.7,-2.9,676,427,5,1955,0,10,376,0,0,84
2008,-2.3,-6.5,-4.4,682,488,4,2027,0,8,498,0,0,82
2009,-2.0,-6.2,-4.1,458,447,4,1981,0,9,321,0,0,82
2010,0.0,-4.6,-2.3,405,296,11,1774,0,18,178,0,0,81
2011,-2.0,-5.7,-3.9,598,405,5,1931,0,11,392,0,0,84
2012,-1.5,-5.0,-3.2,460,432,4,1964,0,11,278,0,0,85
2013,-1.8,-5.2,-3.5,456,368,6,1886,0,13,298,0,0,86
2014,-1.4,-5.0,-3.2,342,377,7,1887,0,14,219,0,0,85
2015,1.3,-3.2,-0.9,581,262,15,1715,0,22,217,14,0,82
2016,-0.5,-4.1,-2.3,633,414,7,1922,0,14,318,0,0,85
2017,-3.4,-7.2,-5.3,385,458,4,1996,0,9,308,0,0,84
2018,-1.7,-4.8,-3.2,510,384,6,1903,0,13,276,0,0,87
2019,-1.9,-6.2,-4.0,406,425,6,1945,0,12,219,0,0,82
