Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1980,-0.4,-5.9,-3.2,1339,393,3,1901,0,11,839,0,0,77
1981,1.5,-3.7,-1.1,1279,249,4,1711,0,19,478,0,0,79
1982,0.0,-5.8,-2.9,1880,357,0,1870,0,10,1008,0,0,76
1983,1.1,-4.0,-1.5,1603,275,6,1748,0,17,665,0,0,79
1984,-0.8,-6.6,-3.7,1102,434,0,1953,0,9,749,0,0,76
1985,-1.7,-7.0,-4.3,667,465,0,2005,0,7,505,0,0,78
1986,-0.2,-5.9,-3.0,1418,379,1,1890,0,11,789,0,0,76
1987,0.1,-5.2,-2.5,928,338,0,1845,0,12,481,0,0,78
1988,0.1,-6.3,-3.1,1269,383,0,1898,0,8,779,0,0,74
1989,-0.6,-6.3,-3.5,860,406,1,1918,0,11,440,0,0,76
1990,0.7,-5.3,-2.3,1225,321,3,1819,0,12,598,0,0,75
1991,0.7,-6.5,-2.9,816,401,7,1886,0,11,421,21,0,71
1992,2.3,-3.4,-0.5,913,224,10,1667,0,20,290,19,0,78
1993,-2.1,-8.4,-5.2,994,533,0,2084,0,4,750,0,0,73
1994,1.2,-5.1,-1.9,1035,304,7,1785,0,13,509,14,0,75
1995,1.2,-4.7,-1.8,1439,295,0,1779,0,14,624,0,0,77
1996,-0.1,-5.9,-3.0,1971,368,0,1885,0,10,1159,0,0,76
1997,0.3,-5.9,-2.8,1772,354,0,1868,0,9,967,0,0,74
1998,0.9,-4.6,-1.8,1149,292,0,1781,0,14,496,0,0,77
1999,0.4,-5.1,-2.3,1678,326,1,1823,0,13,913,0,0,77
2000,0.3,-4.8,-2.2,1432,318,0,1815,0,13,728,0,0,79
2001,0.2,-5.8,-2.8,538,353,0,1866,0,10,304,0,0,76
2002,0.6,-5.1,-2.3,1301,320,0,1821,0,12,640,0,0,77
2003,1.5,-3.7,-1.1,1273,251,7,1710,0,19,453,12,0,79
2004,0.0,-4.9,-2.5,1439,334,0,1839,0,13,736,0,0,80
2005,2.1,-4.6,-1.2,560,256,2,1726,0,15,204,0,0,74
2006,0.4,-5.3,-2.4,1768,334,4,1829,0,13,817,0,0,77
2007,0.6,-5.4,-2.4,1281,332,0,1835,0,11,651,0,0,75
2008,0.4,-5.5,-2.5,1369,344,0,1847,0,11,727,0,0,76
2009,0.4,-6.0,-2.8,1221,359,0,1871,0,9,694,0,0,74
2010,0.8,-4.4,-1.8,991,309,4,1780,0,18,444,11,0,79
2011,0.5,-5.2,-2.4,1360,327,1,1825,0,13,705,0,0,77
2012,1.4,-5.0,-1.8,1355,290,0,1777,0,12,575,0,0,74
2013,0.4,-5.0,-2.3,1034,321,0,1823,0,12,513,0,0,78
2014,0.2,-5.8,-2.8,1269,359,4,1862,0,11,824,0,0,76
2015,3.0,-2.6,0.2,1002,193,17,1602,0,24,277,33,0,79
2016,1.3,-3.4,-1.1,1541,256,7,1717,0,19,612,19,0,81
2017,-2.2,-7.6,-4.9,1272,511,0,2058,0,6,959,0,0,77
2018,0.4,-4.7,-2.2,965,316,4,1807,0,15,459,0,0,79
2019,-0.6,-5.5,-3.1,1250,378,4,1880,0,13,759,0,0,80
