Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1980,-4.5,-11.3,-7.9,271,754,0,2328,0,2,242,0,0,71
1981,-2.7,-8.5,-5.6,324,560,0,2113,0,5,273,0,0,75
1982,-5.0,-12.1,-8.5,468,790,0,2381,0,1,438,0,0,69
1983,-3.1,-9.0,-6.1,448,602,0,2162,0,4,363,0,0,75
1984,-5.2,-12.2,-8.7,300,825,0,2403,0,2,276,0,0,70
1985,-6.8,-13.9,-10.4,240,938,0,2550,0,1,235,0,0,69
1986,-4.5,-10.9,-7.7,271,720,0,2302,0,2,238,0,0,73
1987,-3.4,-10.0,-6.7,167,652,0,2220,0,2,146,0,0,72
1988,-4.0,-11.1,-7.6,284,714,0,2297,0,2,259,0,0,70
1989,-5.4,-12.5,-8.9,288,821,0,2409,0,1,265,0,0,69
1990,-3.5,-9.8,-6.7,270,636,0,2206,0,4,223,0,0,73
1991,-5.2,-11.6,-8.4,383,809,0,2383,0,3,345,0,0,72
1992,-1.6,-7.2,-4.4,225,474,0,2015,0,6,158,0,0,76
1993,-7.0,-13.9,-10.5,295,955,0,2559,0,1,288,0,0,70
1994,-3.4,-8.7,-6.0,358,592,0,2150,0,5,305,0,0,77
1995,-3.6,-9.5,-6.5,306,640,0,2207,0,3,266,0,0,75
1996,-5.6,-12.4,-9.0,380,832,0,2423,0,1,360,0,0,71
1997,-5.5,-12.5,-9.0,337,836,0,2426,0,1,320,0,0,69
1998,-3.0,-9.2,-6.1,326,603,0,2166,0,3,278,0,0,73
1999,-3.3,-9.1,-6.2,382,608,0,2168,0,4,323,0,0,75
2000,-3.5,-9.1,-6.3,327,615,0,2181,0,4,276,0,0,76
2001,-4.3,-10.3,-7.3,198,694,0,2267,0,3,179,0,0,74
2002,-3.2,-9.2,-6.2,296,614,0,2175,0,3,250,0,0,74
2003,-2.2,-7.7,-4.9,293,510,0,2056,0,6,206,0,0,77
2004,-3.8,-9.6,-6.7,307,654,0,2222,0,3,267,0,0,75
2005,-2.8,-9.0,-5.9,251,586,0,2147,0,4,198,0,0,74
2006,-3.2,-8.7,-5.9,375,591,0,2146,0,5,284,0,0,76
2007,-3.8,-9.3,-6.5,274,637,0,2205,0,3,237,0,0,76
2008,-3.7,-10.4,-7.0,298,674,0,2251,0,2,266,0,0,71
2009,-5.3,-11.3,-8.3,399,779,0,2363,0,2,372,0,0,74
2010,-2.7,-8.0,-5.3,248,548,0,2099,0,7,185,0,0,77
2011,-4.0,-9.2,-6.6,310,636,0,2202,0,4,261,0,0,77
2012,-3.6,-8.9,-6.3,276,615,0,2178,0,4,242,0,0,77
2013,-3.0,-8.1,-5.5,301,560,0,2114,0,5,243,0,0,78
2014,-4.6,-9.7,-7.1,215,674,0,2250,0,4,183,0,0,78
2015,-1.7,-6.6,-4.1,339,459,0,1992,0,8,229,0,0,79
2016,-2.4,-6.8,-4.6,420,490,0,2031,0,7,307,0,0,81
2017,-6.3,-11.7,-9.0,279,818,0,2421,0,1,267,0,0,76
2018,-4.6,-8.6,-6.6,483,639,0,2205,0,5,395,0,0,83
2019,-4.6,-9.9,-7.3,233,686,0,2253,0,4,193,0,0,77
