Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1980,-1.5,-7.8,-4.7,626,493,0,2036,0,7,387,0,0,73
1981,0.8,-5.0,-2.1,602,310,4,1802,0,13,321,0,0,76
1982,-2.8,-8.8,-5.8,783,579,0,2138,0,4,644,0,0,74
1983,0.0,-5.9,-2.9,769,368,2,1880,0,10,447,0,0,76
1984,-1.7,-8.1,-4.9,472,519,0,2062,0,7,280,0,0,73
1985,-3.0,-9.4,-6.2,287,610,0,2171,0,3,257,0,0,73
1986,-0.8,-6.9,-3.8,514,430,2,1953,0,9,320,0,0,75
1987,-0.4,-6.0,-3.2,532,382,0,1903,0,9,312,0,0,77
1988,-1.5,-7.2,-4.4,486,474,0,2012,0,6,350,0,0,76
1989,-1.8,-7.7,-4.7,406,492,0,2033,0,7,258,0,0,75
1990,-1.2,-6.1,-3.7,575,420,2,1940,0,11,379,0,0,79
1991,-1.7,-6.6,-4.2,585,476,0,1998,0,9,382,0,0,79
1992,0.8,-4.0,-1.6,644,279,0,1760,0,17,263,0,0,81
1993,-2.3,-7.4,-4.9,198,511,0,2055,0,6,152,0,0,78
1994,-0.8,-5.0,-2.9,666,366,3,1870,0,14,420,0,0,82
1995,-0.7,-5.8,-3.2,616,388,0,1909,0,10,376,0,0,79
1996,-1.2,-6.5,-3.9,516,433,0,1964,0,8,338,0,0,78
1997,-1.9,-7.5,-4.7,534,502,0,2043,0,6,384,0,0,77
1998,-1.0,-5.6,-3.3,677,391,0,1915,0,10,416,0,0,81
1999,-1.8,-6.0,-3.9,986,428,0,1960,0,9,666,0,0,82
2000,-0.9,-5.6,-3.2,491,386,0,1907,0,11,278,0,0,80
2001,-0.3,-6.1,-3.2,282,380,0,1900,0,10,157,0,0,76
2002,-1.3,-6.1,-3.7,642,420,0,1951,0,9,419,0,0,80
2003,0.8,-4.9,-2.0,474,305,1,1797,0,14,199,0,0,77
2004,-0.4,-5.1,-2.8,440,354,0,1866,0,12,243,0,0,80
2005,0.7,-4.7,-2.0,479,302,0,1795,0,14,216,0,0,78
2006,-0.4,-4.6,-2.5,736,333,0,1838,0,14,364,0,0,82
2007,-0.7,-4.7,-2.7,669,345,0,1856,0,14,357,0,0,83
2008,-1.9,-6.5,-4.2,675,460,0,1996,0,8,479,0,0,81
2009,-1.7,-6.2,-3.9,453,437,0,1968,0,9,308,0,0,81
2010,0.4,-4.6,-2.1,401,329,2,1810,0,16,168,0,0,80
2011,-1.7,-5.7,-3.7,592,414,0,1941,0,10,375,0,0,83
2012,-1.1,-5.0,-3.1,457,370,0,1889,0,13,266,0,0,84
2013,-1.4,-5.2,-3.3,449,390,0,1912,0,12,285,0,0,84
2014,-1.0,-5.0,-3.0,338,373,3,1879,0,14,212,0,0,84
2015,1.7,-3.2,-0.7,573,240,7,1684,0,22,203,14,0,81
2016,-0.1,-4.0,-2.1,625,314,0,1806,0,17,301,0,0,84
2017,-3.0,-7.2,-5.1,380,529,0,2077,0,6,301,0,0,82
2018,-1.3,-4.8,-3.0,505,369,0,1882,0,14,262,0,0,85
2019,-1.5,-6.2,-3.9,402,431,2,1952,0,11,204,0,0,80
