Lat, long, elev, period,MAT ,MWMT ,MCMT ,TD ,MAP ,MSP ,AHM ,SHM ,DD<0 ,DD>5 ,DD<18 ,DD>18 ,NFFD ,bFFP ,eFFP ,FFP ,PAS ,EMT ,EXT ,MAR ,Eref ,CMD ,RH ,Tmax_wt ,Tmax_sp ,Tmax_sm ,Tmax_at ,Tmin_wt ,Tmin_sp ,Tmin_sm ,Tmin_at ,Tave_wt ,Tave_sp ,Tave_sm ,Tave_at ,PPT_wt ,PPT_sp ,PPT_sm ,PPT_at ,Rad_wt ,Rad_sp ,Rad_sm ,Rad_at ,DD<0_wt ,DD<0_sp ,DD<0_sm ,DD<0_at ,DD>5_wt ,DD>5_sp ,DD>5_sm ,DD>5_at ,DD<18_wt ,DD<18_sp ,DD<18_sm ,DD<18_at ,DD>18_wt ,DD>18_sp ,DD>18_sm ,DD>18_at ,NFFD_wt ,NFFD_sp ,NFFD_sm ,NFFD_at ,PAS_wt ,PAS_sp ,PAS_sm ,PAS_at ,Eref_wt ,Eref_sp ,Eref_sm ,Eref_at ,CMD_wt ,CMD_sp ,CMD_sm ,CMD_at ,RH_wt ,RH_sp ,RH_sm ,RH_at ,Tmax(01) ,Tmax(02) ,Tmax(03) ,Tmax(04) ,Tmax(05) ,Tmax(06) ,Tmax(07) ,Tmax(08) ,Tmax(09) ,Tmax(10) ,Tmax(11) ,Tmax(12) ,Tmin(01) ,Tmin(02) ,Tmin(03) ,Tmin(04) ,Tmin(05) ,Tmin(06) ,Tmin(07) ,Tmin(08) ,Tmin(09) ,Tmin(10) ,Tmin(11) ,Tmin(12) ,Tave(01) ,Tave(02) ,Tave(03) ,Tave(04) ,Tave(05) ,Tave(06) ,Tave(07) ,Tave(08) ,Tave(09) ,Tave(10) ,Tave(11) ,Tave(12) ,Prec(01) ,Prec(02) ,Prec(03) ,Prec(04) ,Prec(05) ,Prec(06) ,Prec(07) ,Prec(08) ,Prec(09) ,Prec(10) ,Prec(11) ,Prec(12) ,Rad(01) ,Rad(02) ,Rad(03) ,Rad(04) ,Rad(05) ,Rad(06) ,Rad(07) ,Rad(08) ,Rad(09) ,Rad(10) ,Rad(11) ,Rad(12) ,DD<0(01) ,DD<0(02) ,DD<0(03) ,DD<0(04) ,DD<0(05) ,DD<0(06) ,DD<0(07) ,DD<0(08) ,DD<0(09) ,DD<0(10) ,DD<0(11) ,DD<0(12) ,DD>5(01) ,DD>5(02) ,DD>5(03) ,DD>5(04) ,DD>5(05) ,DD>5(06) ,DD>5(07) ,DD>5(08) ,DD>5(09) ,DD>5(10) ,DD>5(11) ,DD>5(12) ,DD<18(01) ,DD<18(02) ,DD<18(03) ,DD<18(04) ,DD<18(05) ,DD<18(06) ,DD<18(07) ,DD<18(08) ,DD<18(09) ,DD<18(10) ,DD<18(11) ,DD<18(12) ,DD>18(01) ,DD>18(02) ,DD>18(03) ,DD>18(04) ,DD>18(05) ,DD>18(06) ,DD>18(07) ,DD>18(08) ,DD>18(09) ,DD>18(10) ,DD>18(11) ,DD>18(12) ,NFFD(01) ,NFFD(02) ,NFFD(03) ,NFFD(04) ,NFFD(05) ,NFFD(06) ,NFFD(07) ,NFFD(08) ,NFFD(09) ,NFFD(10) ,NFFD(11) ,NFFD(12) ,PAS(01) ,PAS(02) ,PAS(03) ,PAS(04) ,PAS(05) ,PAS(06) ,PAS(07) ,PAS(08) ,PAS(09) ,PAS(10) ,PAS(11) ,PAS(12) ,Eref(01) ,Eref(02) ,Eref(03) ,Eref(04) ,Eref(05) ,Eref(06) ,Eref(07) ,Eref(08) ,Eref(09) ,Eref(10) ,Eref(11) ,Eref(12) ,CMD(01) ,CMD(02) ,CMD(03) ,CMD(04) ,CMD(05) ,CMD(06) ,CMD(07) ,CMD(08) ,CMD(09) ,CMD(10) ,CMD(11) ,CMD(12) ,RH(01) ,RH(02) ,RH(03) ,RH(04) ,RH(05) ,RH(06) ,RH(07) ,RH(08) ,RH(09) ,RH(10) ,RH(11) ,RH(12) 
49.744,-118.935,2313,CanESM2_rcp45_2025,1.2,12.7,-8,20.7,1210,337,9.2,37.6,1165,740,6125,8,144,159,261,102,788,-36.4,29.4,13,386,82,74,-4.6,2.7,16.2,4.3,-9.6,-4.1,6.1,-1.7,-7.1,-0.7,11.2,1.3,498,264,183,266,4.8,16.3,22.1,9,685,257,1,222,1,36,580,123,2257,1722,627,1519,0,1,6,2,3,18,86,37,443,203,6,135,0,58,265,64,0,0,82,0,78,74,68,78,-4.9,-3.6,-1.3,2,7.5,13.5,18,17.2,12,4,-3,-5.4,-9.6,-8.6,-7.4,-4.6,-0.3,3.6,7.3,7.5,3.9,-1.3,-7.6,-10.7,-7.2,-6.1,-4.4,-1.3,3.6,8.5,12.7,12.4,8,1.3,-5.3,-8,184,130,96,81,88,67,50,65,66,87,113,184,4,7.3,11.9,16.7,20.3,22.4,23.7,20,14.4,8.3,4.2,3.2,237,189,163,83,12,1,0,0,2,38,182,259,0,0,1,5,30,112,238,230,102,20,1,0,783,671,695,580,447,285,166,176,302,519,699,803,0,0,0,0,0,1,2,3,1,0,0,0,1,1,2,3,13,25,31,30,24,11,2,1,156,118,92,72,40,4,1,1,6,37,92,169,0,0,0,0,58,84,100,80,45,18,0,0,0,0,0,0,0,17,50,15,0,0,0,0,80,79,74,74,73,67,66,69,73,81,80,77
49.744,-118.935,2313,CanESM2_rcp45_2055,2.6,14.8,-6.4,21.2,1227,340,10.3,43.5,938,964,5604,20,164,151,268,117,709,-33.6,31.5,13,411,101,76,-3.5,3.7,18.2,5.5,-7.7,-2.6,7.9,-0.4,-5.6,0.5,13,2.6,497,270,182,278,4.8,16.3,22.1,9,567,190,0,181,2,51,741,170,2122,1608,466,1408,0,1,17,3,5,25,89,44,404,183,3,118,0,60,283,68,0,0,101,0,82,76,68,79,-4.3,-2.1,-0.2,2.9,8.4,14.6,20.3,19.5,13.8,4.6,-2,-4,-8.6,-6.1,-5.4,-3.3,0.8,5.2,9.3,9.3,5.2,-0.2,-6.1,-8.6,-6.4,-4.1,-2.8,-0.2,4.6,9.9,14.8,14.4,9.5,2.2,-4,-6.3,169,136,98,80,92,82,42,59,66,95,117,192,4,7.3,11.9,16.7,20.3,22.4,23.7,20,14.4,8.3,4.2,3.2,216,140,123,60,7,0,0,0,1,28,152,212,1,1,2,7,41,148,301,292,143,25,2,1,757,615,647,545,416,244,106,115,256,492,660,750,0,0,0,0,1,1,8,8,2,0,0,0,2,3,3,5,17,28,31,31,26,14,3,1,135,108,88,64,31,2,0,1,4,29,85,162,0,0,0,0,60,86,109,88,49,18,0,0,0,0,0,0,0,4,67,30,0,0,0,0,81,83,78,76,74,69,66,68,72,83,83,80
49.744,-118.935,2313,CanESM2_rcp45_2085,3.5,16.3,-5.6,21.9,1279,361,10.6,45.3,808,1117,5297,37,177,140,273,133,660,-31.3,31.8,13,452,90,77,-2.7,4.3,19.1,6.1,-6.6,-1.7,9.2,0.4,-4.6,1.3,14.2,3.3,513,284,198,283,4.8,16.3,22.1,9,493,158,0,157,3,65,850,199,2036,1538,380,1343,0,1,32,4,8,32,90,47,380,170,2,107,0,94,289,69,0,0,90,0,83,78,69,80,-3.3,-1.3,0.5,3.4,9.1,15.4,21.6,20.4,14.4,5.2,-1.3,-3.4,-7.2,-5,-4.5,-2.3,1.8,5.8,11.1,10.8,6.2,0.4,-5.2,-7.7,-5.2,-3.2,-2,0.5,5.4,10.6,16.3,15.6,10.3,2.8,-3.3,-5.6,178,136,97,89,98,85,50,64,64,96,123,200,4,7.3,11.9,16.7,20.3,22.4,23.7,20,14.4,8.3,4.2,3.2,184,118,105,49,4,0,0,0,1,23,134,191,1,2,3,10,53,168,352,329,166,30,3,1,721,588,623,524,390,224,68,89,231,473,638,727,0,0,0,0,1,2,17,14,3,0,0,0,2,4,4,8,20,28,31,31,28,16,4,2,126,96,82,64,25,2,0,0,3,22,82,158,0,0,0,34,61,89,111,88,50,19,0,0,0,0,0,0,0,4,62,24,0,0,0,0,83,84,79,78,75,69,68,70,73,83,84,82
49.744,-118.935,2313,CanESM2_rcp85_2025,1.3,12.8,-7.5,20.3,1234,355,9.2,36.1,1138,754,6082,9,145,158,262,105,789,-36,30.2,13,385,74,75,-4.5,2.7,16.3,4.3,-9.3,-4,6.3,-1.4,-6.9,-0.7,11.3,1.4,501,270,190,272,4.8,16.3,22.1,9,668,255,1,215,1,36,591,125,2238,1718,617,1509,0,1,7,2,3,18,86,38,444,206,7,132,0,58,265,63,0,0,74,0,79,74,68,79,-5.1,-3.4,-1.3,1.8,7.6,13.1,18.1,17.8,12,3.6,-2.6,-5,-9.9,-8.2,-7.1,-4.6,-0.3,3.4,7.5,7.9,4.1,-1.2,-7.2,-9.9,-7.5,-5.8,-4.2,-1.4,3.7,8.2,12.8,12.8,8.1,1.2,-4.9,-7.4,174,132,95,83,91,73,52,64,74,92,106,195,4,7.3,11.9,16.7,20.3,22.4,23.7,20,14.4,8.3,4.2,3.2,243,182,159,85,11,1,0,0,2,40,173,243,0,1,1,5,30,104,244,244,104,19,2,0,791,663,690,582,445,294,161,163,299,523,687,785,0,0,0,0,0,1,3,4,1,0,0,0,1,1,2,3,13,25,31,31,25,11,2,1,150,119,91,74,41,5,1,1,7,41,84,175,0,0,0,0,58,82,100,83,45,17,0,0,0,0,0,0,0,9,48,18,0,0,0,0,79,79,75,75,73,68,67,69,74,82,80,79
49.744,-118.935,2313,CanESM2_rcp85_2055,3.7,16.6,-5.1,21.7,1266,344,10.9,48.4,786,1166,5221,43,180,140,275,135,647,-30.8,32.3,13,462,109,77,-2.6,4.3,19.5,6.6,-6.5,-1.7,9.4,0.8,-4.5,1.3,14.5,3.7,518,285,186,277,4.8,16.3,22.1,9,484,159,0,143,3,67,878,218,2026,1536,357,1302,0,1,37,4,8,32,90,49,379,172,2,94,0,95,295,71,0,0,109,0,84,78,68,80,-3.2,-1.7,0.4,3.3,9.2,15.8,22.1,20.8,15.1,5.7,-0.9,-3,-7,-5.2,-4.5,-2.4,1.9,6.1,11.2,11,6.5,0.8,-4.8,-7.2,-5.1,-3.4,-2.1,0.5,5.5,10.9,16.6,15.9,10.8,3.2,-2.9,-5.1,180,139,101,88,97,80,45,61,61,99,117,199,4,7.3,11.9,16.7,20.3,22.4,23.7,20,14.4,8.3,4.2,3.2,181,125,105,50,4,0,0,0,0,19,123,178,1,1,3,9,55,178,361,339,180,34,3,1,717,596,624,526,386,214,62,82,217,460,626,712,0,0,0,0,1,2,19,16,4,0,0,0,3,3,4,7,20,29,31,31,28,17,4,2,126,102,84,64,23,1,0,0,2,19,73,150,0,0,0,34,61,90,114,91,52,20,0,0,0,0,0,0,0,11,69,29,0,0,0,0,84,85,80,78,75,69,67,69,72,83,84,82
49.744,-118.935,2313,CanESM2_rcp85_2085,6.4,20.9,-3.3,24.2,1277,339,12.9,61.7,510,1714,4406,211,220,121,289,168,428,-25.6,35.9,13,525,149,80,-1,6.4,23.1,9.1,-3.9,0.8,13.5,3.4,-2.5,3.6,18.3,6.3,517,296,175,289,4.8,16.3,22.1,9,336,86,0,88,8,130,1227,348,1839,1324,159,1084,0,3,194,15,17,50,92,61,267,98,0,63,0,124,321,80,0,0,146,3,88,80,71,80,-1.6,0.2,2.4,5.7,11.3,18.5,26,24.9,18.7,7.9,0.8,-1.5,-4.4,-2.3,-2,0.2,4.3,9.1,15.9,15.6,9.8,3.1,-2.7,-5.1,-3,-1.1,0.2,2.9,7.8,13.8,20.9,20.2,14.2,5.5,-1,-3.3,190,146,99,89,108,81,40,53,56,105,128,181,4,7.3,11.9,16.7,20.3,22.4,23.7,20,14.4,8.3,4.2,3.2,127,78,63,22,1,0,0,0,0,8,80,131,2,4,7,22,101,263,493,472,278,63,6,2,651,530,555,452,317,133,10,16,127,389,569,658,0,0,0,0,2,8,101,86,14,1,0,0,5,8,9,15,27,30,31,31,30,24,8,4,94,67,56,33,9,0,0,0,1,6,56,105,0,0,21,38,65,98,124,100,59,22,0,0,0,0,0,0,0,16,83,47,3,0,0,0,88,90,83,81,77,70,70,72,72,83,86,85
