Year,Max Temp,Min Temp,Ave Temp,Precipitation,DDays < 0°C,DDays > 5°C,DDays < 18°C,DDays > 18°C,Frost Free Days,Snowfall,Evaporation,Moisture Deficit,Relative Humidity
1980,-0.8,-13.6,-7.2,299,688,0,2261,0,1,265,0,0,49
1981,2.6,-10.4,-3.9,94,434,6,1960,0,3,64,0,0,50
1982,-1.8,-13.6,-7.7,318,721,0,2305,0,1,280,0,0,52
1983,-0.7,-13.1,-6.9,165,667,0,2236,0,1,147,0,0,50
1984,-3.3,-16.0,-9.6,287,882,0,2482,0,0,273,0,0,49
1985,-2.7,-15.6,-9.1,205,837,0,2431,0,0,191,0,0,48
1986,-0.5,-11.4,-5.9,269,592,0,2149,0,2,233,0,0,56
1987,-1.3,-14.5,-7.9,154,737,0,2324,0,1,142,0,0,47
1988,-3.3,-15.1,-9.2,239,850,0,2447,0,0,229,0,0,52
1989,-2.5,-15.0,-8.8,247,810,0,2406,0,0,235,0,0,49
1990,-2.0,-14.3,-8.1,168,757,0,2347,0,1,157,0,0,50
1991,-1.8,-14.8,-8.3,164,782,0,2369,0,1,153,0,0,48
1992,-0.4,-14.0,-7.2,115,688,0,2263,0,1,103,0,0,46
1993,-1.8,-13.6,-7.7,286,726,0,2306,0,1,261,0,0,52
1994,-2.1,-14.5,-8.3,179,769,0,2360,0,1,168,0,0,49
1995,0.1,-12.1,-6.0,231,597,2,2158,0,1,183,0,0,52
1996,-1.2,-13.2,-7.2,411,687,1,2263,0,1,370,0,0,52
1997,-2.3,-14.1,-8.2,344,759,0,2348,0,1,315,0,0,52
1998,-1.7,-13.7,-7.7,194,727,0,2307,0,1,175,0,0,51
1999,-0.7,-12.3,-6.5,227,634,0,2197,0,1,192,0,0,53
2000,-0.5,-11.5,-6.0,287,602,2,2161,0,2,236,0,0,56
2001,-1.0,-13.0,-7.0,187,674,0,2248,0,1,167,0,0,51
2002,-1.8,-15.0,-8.4,159,775,0,2368,0,1,149,0,0,47
2003,-0.8,-12.0,-6.4,193,625,4,2186,0,2,170,0,0,55
2004,-0.7,-13.0,-6.9,204,658,0,2228,0,1,179,0,0,51
2005,0.2,-11.2,-5.5,259,560,3,2112,0,2,199,0,0,55
2006,-1.9,-13.2,-7.5,312,713,0,2290,0,1,282,0,0,54
2007,-0.9,-12.0,-6.4,227,626,2,2194,0,1,196,0,0,55
2008,-3.2,-13.5,-8.3,399,780,1,2366,0,1,373,0,0,57
2009,-0.9,-10.8,-5.8,336,584,3,2140,0,2,279,0,0,59
2010,-2.4,-13.7,-8.0,214,746,0,2335,0,1,196,0,0,53
2011,-1.3,-11.8,-6.6,299,629,3,2198,0,2,244,0,0,57
2012,-0.6,-12.2,-6.4,189,626,1,2188,0,1,160,0,0,53
2013,-2.2,-13.6,-7.9,214,740,0,2325,0,1,196,0,0,53
2014,-1.7,-11.5,-6.6,350,645,0,2212,0,2,301,0,0,59
2015,0.6,-9.5,-4.5,232,477,3,2018,0,3,173,0,0,59
2016,-0.5,-11.5,-6.0,229,601,1,2160,0,2,192,0,0,55
2017,-0.5,-10.2,-5.4,421,554,4,2103,0,3,335,0,0,60
2018,0.6,-9.8,-4.6,259,486,6,2030,0,3,195,0,0,58
2019,-1.7,-12.6,-7.2,260,686,0,2257,0,1,228,0,0,55
